exit_type,gross_pl_pct,gross_pl_rs,net_pl_pct,net_pl_rs,net_credit,net_credit_rs,max_risk_rs,sold_strike,bought_strike,entry_nifty,exit_nifty,opt_type,cost_rs,cost_pct,n_bars,exit_bar,date,day,signal,gap_pct
TP,20.26,2125.04,19.09,2002.03,38.66,2512.99,10487.01,22750,22550,22763.4,22802.15,PE,123.01,1.17,101,87,2024-06-06,Thursday,Bullish,0.0
TP,26.47,2721.04,25.25,2595.19,41.86,2721.04,10278.96,23400,23200,23408.25,23401.55,PE,125.85,1.22,101,100,2024-06-13,Thursday,Bullish,0.01
Time Exit,6.32,643.35,5.07,516.19,43.35,2817.6,10182.4,23600,23400,23605.5,23566.55,PE,127.16,1.25,101,100,2024-06-20,Thursday,Bullish,0.0
Time Exit,-34.94,-3471.24,-36.25,-3601.94,47.15,3064.51,9935.49,23950,24150,23948.45,24050.55,CE,130.7,1.32,101,100,2024-06-27,Thursday,Bearish,-0.0
Time Exit,3.85,368.45,2.43,232.96,52.62,3420.2,9579.8,24350,24150,24337.25,24303.05,PE,135.49,1.41,101,100,2024-07-04,Thursday,Bullish,0.01
TP,20.68,1951.48,19.23,1814.06,54.83,3564.18,9435.82,24300,24100,24282.4,24309.25,PE,137.42,1.46,101,76,2024-07-11,Thursday,Bullish,0.01
TP,20.85,1988.24,19.42,1851.88,53.29,3464.15,9535.85,24750,24550,24736.95,24801.45,PE,136.36,1.43,101,29,2024-07-18,Thursday,Bullish,0.01
TP,24.56,2563.35,23.37,2438.94,39.44,2563.35,10436.65,24400,24600,24378.45,24398.0,CE,124.41,1.19,101,100,2024-07-25,Thursday,Bearish,-0.97
Time Exit,17.59,1793.17,16.34,1665.31,43.19,2807.17,10192.83,25000,25200,24985.4,25015.6,CE,127.85,1.25,101,100,2024-08-01,Thursday,Bearish,-0.41
TP,21.55,2146.27,20.24,2015.79,46.77,3039.75,9960.25,24150,24350,24146.9,24130.4,CE,130.48,1.31,101,93,2024-08-08,Thursday,Bearish,-0.56
TP,28.92,2916.22,27.64,2787.2,44.86,2916.22,10083.78,24800,24600,24806.2,24808.95,PE,129.02,1.28,101,100,2024-08-22,Thursday,Bullish,0.06
TP,27.79,2611.7,26.32,2473.14,55.41,3601.89,9398.11,25150,24950,25133.5,25181.8,PE,138.56,1.47,101,81,2024-08-29,Thursday,Bullish,0.05
TP,20.78,2161.09,19.58,2035.84,40.02,2601.58,10398.42,25200,25400,25176.7,25140.7,CE,125.25,1.2,101,86,2024-09-05,Thursday,Bearish,-0.28
TP,26.79,2581.28,25.39,2446.11,51.78,3365.71,9634.29,25000,24800,24991.0,25098.8,PE,135.18,1.4,101,26,2024-09-12,Thursday,Bullish,1.11
TP,21.05,2141.53,19.79,2013.37,43.5,2827.67,10172.33,25400,25200,25411.65,25423.85,PE,128.16,1.26,101,98,2024-09-19,Thursday,Bullish,0.89
TP,23.72,2337.25,22.37,2204.39,48.4,3146.24,9853.76,26100,25900,26102.2,26168.4,PE,132.86,1.35,101,61,2024-09-26,Thursday,Bullish,1.0
TP,20.46,2018.06,19.11,1885.64,48.22,3134.48,9865.52,25300,25500,25296.3,25244.0,CE,132.42,1.34,101,53,2024-10-03,Thursday,Bearish,-0.47
TP,20.04,1819.58,18.46,1676.32,60.33,3921.22,9078.78,25000,25200,25023.55,25001.9,CE,143.27,1.58,101,74,2024-10-10,Thursday,Bearish,-0.06
TP,23.93,2510.24,22.75,2386.5,38.62,2510.24,10489.76,24750,24550,24771.5,24764.35,PE,123.74,1.18,101,100,2024-10-17,Thursday,Bullish,0.4
TP,22.36,2148.04,20.95,2012.91,52.18,3391.45,9608.55,24400,24200,24388.35,24413.65,PE,135.13,1.41,101,86,2024-10-24,Thursday,Bullish,0.21
TP,20.38,1981.17,19.0,1847.5,50.41,3276.74,9723.26,24200,24400,24204.85,24186.8,CE,133.67,1.37,101,85,2024-10-31,Thursday,Bearish,-0.83
TP,28.82,2868.66,27.51,2738.23,46.88,3047.41,9952.59,24200,24000,24199.45,24197.25,PE,130.43,1.31,101,100,2024-11-07,Thursday,Bullish,0.62
TP,29.51,2845.83,28.12,2711.71,51.63,3356.08,9643.92,23550,23350,23537.0,23542.15,PE,134.12,1.39,101,100,2024-11-14,Thursday,Bullish,0.36
TP,29.06,2927.26,27.79,2798.82,45.03,2927.26,10072.74,23350,23150,23350.75,23353.1,PE,128.44,1.28,101,100,2024-11-21,Thursday,Bullish,0.3
Time Exit,9.03,851.98,7.57,714.41,54.86,3565.73,9434.27,24150,24350,24164.5,24191.75,CE,137.57,1.46,101,100,2024-11-26,Tuesday,Bearish,-0.49
TP,21.48,2162.54,20.2,2033.48,45.13,2933.42,10066.58,24450,24250,24454.35,24469.4,PE,129.07,1.28,101,97,2024-12-03,Tuesday,Bullish,0.07
TP,20.09,1860.82,18.57,1720.56,57.48,3736.37,9263.63,24550,24750,24568.85,24529.35,CE,140.25,1.51,101,51,2024-12-10,Tuesday,Bearish,-0.33
TP,21.08,2069.73,19.73,1937.24,48.96,3182.14,9817.86,24350,24550,24351.15,24320.85,CE,132.49,1.35,101,77,2024-12-17,Tuesday,Bearish,-0.11
TP,20.69,2033.25,19.34,1901.27,48.78,3170.86,9829.14,23750,23950,23752.75,23703.7,CE,131.99,1.34,101,55,2025-01-07,Tuesday,Bearish,-0.05
TP,20.55,2116.52,19.33,1991.01,41.57,2702.26,10297.74,23150,22950,23158.0,23173.7,PE,125.51,1.22,101,98,2025-01-14,Tuesday,Bullish,0.66
TP,22.99,2300.69,21.7,2171.28,46.06,2993.9,10006.1,23250,23450,23248.45,23166.05,CE,129.41,1.29,101,41,2025-01-21,Tuesday,Bearish,-0.31
TP,20.35,1938.26,18.93,1802.86,53.49,3476.85,9523.15,23050,22850,23031.7,23077.15,PE,135.4,1.42,101,50,2025-01-28,Tuesday,Bullish,0.43
